State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
GA,Lanier,2021,838,58,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Laurens,2021,3789,513,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Lee,2021,2268,244,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Liberty,2021,7539,651,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Lincoln,2021,492,20,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Long,2021,1769,168,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Lowndes,2021,9617,1194,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Lumpkin,2021,1777,131,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,McDuffie,2021,1596,63,SD,SD,SD,SD,0,SD,0,0,0,0
GA,McIntosh,2021,680,91,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Macon,2021,781,92,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Madison,2021,2210,234,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Marion,2021,504,49,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Meriwether,2021,1477,132,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Miller,2021,405,15,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Mitchell,2021,1442,333,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Monroe,2021,1713,202,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Montgomery,2021,551,50,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Morgan,2021,1399,170,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Murray,2021,3023,433,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Muscogee,2021,16540,2313,8,0.30%,SD,SD,6,SD,0,0,0,0
GA,Newton,2021,8751,1099,6,0.50%,0,0.00%,6,0,0,0,0,0
GA,Oconee,2021,2754,161,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Oglethorpe,2021,988,125,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Paulding,2021,13232,857,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Peach,2021,1911,387,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Pickens,2021,1955,187,SD,SD,0,0.00%,SD,0,0,0,0,0
