NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"Pueblo County, Colorado",0.3,0.2,1.2,0.3,1.5,0.3
"Rio Blanco County, Colorado",0.5,0.9,0.5,0.9,3.1,2.3
"Rio Grande County, Colorado",0.8,1,0.6,0.8,2.5,1.7
"Routt County, Colorado",0,0.4,0.1,0.1,0.6,0.5
"Saguache County, Colorado",2.7,1.7,1.8,1.3,4.6,2.5
"San Juan County, Colorado",1.2,1.8,1.2,1.8,0,10.9
"San Miguel County, Colorado",0.9,0.9,2.8,1.3,1,0.6
"Sedgwick County, Colorado",0,3.6,2.5,1.5,0.7,0.7
"Summit County, Colorado",0.1,0.2,0.1,0.2,1,1
"Teller County, Colorado",0,0.4,0.5,0.3,2.3,1
"Washington County, Colorado",0.8,0.7,1,0.9,1.2,0.9
"Weld County, Colorado",0.4,0.1,0.5,0.1,1.1,0.2
"Yuma County, Colorado",1.1,1.2,0.2,0.4,0.8,0.6
"Fairfield County, Connecticut",0.4,0.1,0.8,0.1,0.8,0.1
"Hartford County, Connecticut",0.3,0.1,0.6,0.1,1,0.1
"Litchfield County, Connecticut",0.5,0.2,0.8,0.2,0.6,0.2
"Middlesex County, Connecticut",0.2,0.1,0.5,0.2,0.7,0.2
"New Haven County, Connecticut",0.4,0.1,0.6,0.1,1,0.1
"New London County, Connecticut",0.5,0.2,0.6,0.2,1,0.3
"Tolland County, Connecticut",0.2,0.2,0.3,0.2,0.9,0.3
"Windham County, Connecticut",0.3,0.2,0.5,0.2,1.3,0.4
"Kent County, Delaware",0.1,0.1,0.2,0.1,1.4,0.5
"New Castle County, Delaware",0.3,0.1,0.7,0.2,0.9,0.2
"Sussex County, Delaware",0.2,0.1,0.4,0.1,0.9,0.2
"District of Columbia, District of Columbia",0.3,0.1,0.6,0.1,1.4,0.2
"Alachua County, Florida",0.3,0.1,1,0.3,1.4,0.4
"Baker County, Florida",0,0.6,0,0.6,0.6,0.4
"Bay County, Florida",0.3,0.2,0.7,0.2,1.1,0.3
"Bradford County, Florida",0.9,1.1,3.1,2.2,1,0.7
"Brevard County, Florida",0.2,0.1,0.5,0.1,1,0.2
"Broward County, Florida",0.3,0.1,0.8,0.1,1.2,0.1
"Calhoun County, Florida",0.4,0.6,1.7,1.4,3.2,1.7
"Charlotte County, Florida",0.4,0.2,1.3,0.4,1.7,0.4
"Citrus County, Florida",0.3,0.1,0.7,0.3,1.2,0.4
"Clay County, Florida",0.1,0.1,0.5,0.2,0.5,0.2
"Collier County, Florida",0.3,0.2,1.3,0.3,1.4,0.3
"Columbia County, Florida",0.6,0.5,1.8,1,1.5,0.6
"DeSoto County, Florida",0.3,0.6,0.9,0.7,2.4,1.4
"Dixie County, Florida",2.7,2.6,3.3,2.1,3,1.9
"Duval County, Florida",0.2,0.1,0.6,0.1,1.2,0.1
"Escambia County, Florida",0.3,0.1,0.9,0.2,1.2,0.2
"Flagler County, Florida",0.1,0.1,0.4,0.2,(X),(X)
"Franklin County, Florida",0.8,1.3,1.2,1.2,1.9,1.5
